Species,Model,class,n.patches,total.area,prop.landscape,patch.density,total.edge,edge.density,landscape.shape.index,largest.patch.index,mean.patch.area,sd.patch.area,min.patch.area,max.patch.area,perimeter.area.frac.dim,mean.perim.area.ratio,sd.perim.area.ratio,min.perim.area.ratio,max.perim.area.ratio,mean.shape.index,sd.shape.index,min.shape.index,max.shape.index,mean.frac.dim.index,sd.frac.dim.index,min.frac.dim.index,max.frac.dim.index,total.core.area,prop.landscape.core,mean.patch.core.area,sd.patch.core.area,min.patch.core.area,max.patch.core.area,prop.like.adjacencies,aggregation.index,lanscape.division.index,splitting.index,effective.mesh.size,patch.cohesion.index,range.size,n.cells,nwidth_mcp,nwidth_kd,sd.elev,sp.dist.equal.mean,median.long,median.lat
Abies alba,Occurrence,1,9,1278000,52.7641303,3.72E-06,23340,0.009636266,5.140969163,0.497997605,142000,399159.7111,2000,1206200,1.474,0.061932517,0.024838481,0.016033825,0.091666667,1.676,1.079589828,1,4.395454545,1.073887252,0.069932086,1.001634348,1.211689667,1052500,0.434540275,116944.4444,337074.2838,600,1015700,0.912672578,96.28942486,0.751796332,4.028949317,601174.1051,0.995633054,2422100,24221,1465,1557,520.8735566,265.5175165,15.355,47.165
Abies alba,SDM.bin,1,18,2271000,42.75547858,3.39E-06,31000,0.005836283,5.132450331,0.407862038,126166.6667,509218.162,2100,2166400,1.406,0.065647171,0.021723327,0.011752216,0.095238095,1.289,0.772698359,1,4.315254237,1.032501094,0.047681155,1,1.200743471,1968200,0.370547481,109344.4444,449811.5373,600,1911600,0.934000426,97.23391994,0.833599331,6.00959121,883853.7955,0.996156087,5311600,53116,1465,1557,520.8735566,265.5175165,15.355,47.165
Abies alba,ESM.bin,1,15,2825900,58.86555847,3.12E-06,37820,0.007878182,5.611275964,0.553805774,188393.3333,683521.2594,2500,2658600,1.45,0.059540832,0.022008135,0.011314226,0.088,1.483,0.954505156,1,4.599388379,1.050949446,0.06253463,1.001036525,1.206669945,2453600,0.511102779,163573.3333,606535.4594,800,2355800,0.935249705,97.2339403,0.693080246,3.258180643,1473398.969,0.997016358,4800600,48006,1465,1557,520.8735566,265.5175165,15.355,47.165
Abies alba,SDM70.bin,1,23,2992100,38.77283919,2.98E-06,55520,0.007194506,8.023121387,0.307839834,130091.3043,491474.3958,2500,2375600,1.491,0.050223083,0.020183516,0.015170904,0.088,1.587,1.020941376,1,5.83171521,1.064446244,0.063654069,1,1.24054749,2453000,0.317869638,106652.1739,418300.0944,800,2018400,0.911335399,95.91569181,0.904230362,10.4417227,739054.2944,0.994331367,7717000,77170,1465,1557,520.8735566,265.5175165,15.355,47.165
Abies alba,ESM70.bin,1,22,2730300,48.72403455,3.93E-06,51300,0.009154829,7.749244713,0.395531444,124104.5455,468376.8553,3000,2216400,1.526,0.047394683,0.016655005,0.014834867,0.073333333,1.607,0.968803833,1,5.516778523,1.069626709,0.060920062,1.001036525,1.233876109,2232000,0.398315369,101454.5455,400192.6509,1200,1890100,0.910269192,95.88392446,0.842493483,6.348943628,882603.521,0.994478317,5603600,56036,1465,1557,520.8735566,265.5175165,15.355,47.165
Abies borisii-regis,SDM70.bin,1,5,50200,16.10006414,1.60E-05,2640,0.008466966,2.933333333,0.067992303,10040,8439.372015,2200,21200,1.169,0.07000103,0.028378634,0.038679245,0.109090909,1.393,0.189454041,1.133333333,1.576923077,1.072981916,0.021871091,1.043219558,1.095437345,26400,0.08466966,5280,5750.391291,200,13500,0.767605634,90.92805005,0.991885351,123.2339206,2530.14753,0.925761465,311800,3118,311,435,473.2936184,58.85240192,22.44,40.42
Abies borisii-regis,Occurrence,1,1,111000,62.115277,5.60E-06,2960,0.016564074,2.208955224,0.62115277,111000,NA,111000,111000,NA,0.026666667,NA,0.026666667,0.026666667,2.221,NA,2.208955224,2.208955224,1.137382773,NA,1.137382773,1.137382773,82300,0.460548405,82300,NA,82300,82300,0.875,96.23780771,0.614169236,2.591809918,68947.95747,0.993486716,178700,1787,311,435,473.2936184,58.85240192,22.44,40.42
Abies borisii-regis,ESM.bin,1,1,215900,79.20029347,3.67E-06,3320,0.012179017,1.784946237,0.792002935,215900,NA,215900,215900,NA,0.01537749,NA,0.01537749,0.01537749,1.786,NA,1.784946237,1.784946237,1.094465631,NA,1.094465631,1.094465631,183100,0.671680117,183100,NA,183100,183100,0.925958965,98.27218935,0.372731351,1.594213265,170993.4336,0.997585205,272600,2726,311,435,473.2936184,58.85240192,22.44,40.42
Abies borisii-regis,SDM.bin,1,3,128700,41.79928548,9.74E-06,3060,0.009938292,2.125,0.409548555,42900,72061.70967,200,126100,1.202,0.137904221,0.144630705,0.022045995,0.3,1.38,0.510841817,1,1.930555556,1.055437974,0.051155079,1.022230272,1.114347599,99600,0.32348165,33200,56898.94551,0,98900,0.887788779,96.76258993,0.832208801,5.959788169,51662.91004,0.987154015,307900,3079,311,435,473.2936184,58.85240192,22.44,40.42
Abies borisii-regis,ESM70.bin,1,5,110100,43.53499407,1.98E-05,3720,0.014709371,2.776119403,0.296164492,22020,31512.17225,2100,74900,1.344,0.063390645,0.029439419,0.027503338,0.095238095,1.312,0.402719174,1,1.872727273,1.045789357,0.050899116,1.001036525,1.112654567,75400,0.298141558,15080,23548.6093,500,55100,0.844221106,94.42622951,0.899990165,9.999016645,25292.48715,0.970860588,252900,2529,311,435,473.2936184,58.85240192,22.44,40.42
