Species.x,com1,class,n.patches,total.area,prop.landscape,patch.density,total.edge,edge.density,landscape.shape.index,largest.patch.index,mean.patch.area,sd.patch.area,min.patch.area,max.patch.area,perimeter.area.frac.dim,mean.perim.area.ratio,sd.perim.area.ratio,min.perim.area.ratio,max.perim.area.ratio,mean.shape.index,sd.shape.index,min.shape.index,max.shape.index,mean.frac.dim.index,sd.frac.dim.index,min.frac.dim.index,max.frac.dim.index,total.core.area,prop.landscape.core,mean.patch.core.area,sd.patch.core.area,min.patch.core.area,max.patch.core.area,prop.like.adjacencies,aggregation.index,lanscape.division.index,splitting.index,effective.mesh.size,patch.cohesion.index,OccProb,Model,Species.y,ncells,min.long,max.long,min.lat,max.lat,median.long,median.lat,biomes,Method,maxBiome,percent_maxBiome,Ncells,rwidth,nwidth,C_geo,PC_geo,synonyms,li_form_B.x,reprod_B.x,strategy,poll_vect_B.x,canopy_height,dispersal,leaf_size,dispersal_morphology,growth_form,releasing_height,sbank,seed_mass,seed_number_per_shoot,woodiness,inflorescence_fr,sex_reprod_fr,poll_vect_fr,fruit_type_fr,dissemination_fr,li_form_fr,li_form_B.y,reprod_B.y,poll_vect_B.y,bud_bank_seasonality_soil
Abies_alba,Abies_alba-ESM_bin,1,19,2945000,0.188540333,1.22e-6,39800,0.002548015,5.768115942,0.171414853,155000,611320.8605,2500,2677500,0.027028787,0.056405667,0.020525314,0.010830999,0.08,1.364342675,0.805231102,1,4.393939394,1.046592137,0.059215424,1,1.201151361,1337500,0.085627401,70394.73684,306238.6768,0,1335000,0.710965868,85.61434193,0.970558312,33.96544422,459879.1613,9.557158977,NA,ESM_bin,Abies_alba,1023,-17.56580717,47.70276437,36.80455942,65.12432561,12.41573091,45.82432938,"c(6, 12, 4, 5, 8)",ESM_bin,NA,NA,460,764,1552,0.15467424,8.73405e-4,Abies alba,M (Macrophanerophyte),s (by seed/by spore),c (competitors),wi (wind) [the rule],50,NA,41.25,germinule + generative dispersule,NA,29,NA,79.2,NA,woody,Cone,Monoecious,wind,cone,anemochores,A-semp,M (Macrophanerophyte),s (by seed/by spore),wi (wind) [the rule],NA
Abies_alba,Abies_alba-ESM70_bin,1,24,2855000,0.182778489,1.54e-6,52000,0.003329065,7.647058824,0.147727273,118958.3333,467881.3933,2500,2307500,0.036427222,0.049206046,0.014718168,0.014344529,0.08,1.463649457,0.941390596,1,5.426229508,1.059929161,0.058587365,1,1.231394233,885000,0.056658131,36875,176936.8746,0,867500,0.629101284,79.60288809,0.97797144,45.39561365,344086.1076,9.507249332,NA,ESM70_bin,Abies_alba,922,-17.56580717,58.41130006,39.97170441,69.62245477,9.363370079,48.93878681,"c(6, 4, 12, 5, 11)",ESM70_bin,NA,NA,460,764,1552,0.15467424,8.73405e-4,Abies alba,M (Macrophanerophyte),s (by seed/by spore),c (competitors),wi (wind) [the rule],50,NA,41.25,germinule + generative dispersule,NA,29,NA,79.2,NA,woody,Cone,Monoecious,wind,cone,anemochores,A-semp,M (Macrophanerophyte),s (by seed/by spore),wi (wind) [the rule],NA
Abies_alba,Abies_alba-occurrence,1,10,1325000,1,7.55e-6,23700,0.017886792,5.042553191,0.898113208,132500,372107.362,2500,1190000,0.035773505,0.053305435,0.023089782,0.015714286,0.08,1.466883117,1.008960808,1,4.25,1.050141792,0.06742042,1,1.20804979,445000,0.335849057,44500,138106.2393,0,437500,0.634541249,81.24383021,0.190181559,1.234844688,1073009.434,9.100924906,NA,occurrence,Abies_alba,460,-1.47,28.49,38.17,52.57,15.355,47.165,"c(4, 12, 5)",occurrence,Temperate Broadleaf and Mixed Forests,64.34262948,460,764,1552,0.15467424,8.73405e-4,Abies alba,M (Macrophanerophyte),s (by seed/by spore),c (competitors),wi (wind) [the rule],50,NA,41.25,germinule + generative dispersule,NA,29,NA,79.2,NA,woody,Cone,Monoecious,wind,cone,anemochores,A-semp,M (Macrophanerophyte),s (by seed/by spore),wi (wind) [the rule],NA
Abies_alba,Abies_alba-SDM_bin,1,19,2372500,0.151888604,1.22e-6,33000,0.002112676,5.322580645,0.139884763,124868.4211,499292.8845,2500,2185000,0.027818647,0.060032102,0.018352526,0.011258581,0.08,1.272672065,0.74441035,1,4.1,1.034805454,0.053924042,1,1.195332167,1072500,0.068661972,56447.36842,245443.64,0,1070000,0.703770197,85.40305011,0.98039411,51.00508124,306243.9981,9.527287846,NA,SDM_bin,Abies_alba,814,-8.121733763,47.70276437,36.82041542,60.65344793,15.31805409,46.2742769,"c(12, 4, 5, 6, 11, 8)",SDM_bin,NA,NA,460,764,1552,0.15467424,8.73405e-4,Abies alba,M (Macrophanerophyte),s (by seed/by spore),c (competitors),wi (wind) [the rule],50,NA,41.25,germinule + generative dispersule,NA,29,NA,79.2,NA,woody,Cone,Monoecious,wind,cone,anemochores,A-semp,M (Macrophanerophyte),s (by seed/by spore),wi (wind) [the rule],NA
Abies_alba,Abies_alba-SDM70_bin,1,21,3067500,0.196382843,1.34e-6,57700,0.003693982,8.126760563,0.149007682,146071.4286,504969.4121,2500,2327500,0.037620149,0.055042313,0.022963857,0.016326531,0.08,1.536411349,1.160004294,1,6.129032258,1.057265834,0.068597263,1,1.249502912,910000,0.058258643,43333.33333,171275.2414,0,787500,0.619267568,78.76626102,0.977261021,43.97734751,355182.8585,9.491835189,NA,SDM70_bin,Abies_alba,942,-10.12986174,41.72885911,36.82041542,69.63189685,11.31846027,50.29735719,"c(4, 12, 5, 11, 6)",SDM70_bin,NA,NA,460,764,1552,0.15467424,8.73405e-4,Abies alba,M (Macrophanerophyte),s (by seed/by spore),c (competitors),wi (wind) [the rule],50,NA,41.25,germinule + generative dispersule,NA,29,NA,79.2,NA,woody,Cone,Monoecious,wind,cone,anemochores,A-semp,M (Macrophanerophyte),s (by seed/by spore),wi (wind) [the rule],NA
Abies_borisii-regis,Abies_borisii-regis-ESM_bin,1,3,225000,0.014404609,1.92e-7,4000,2.56082e-4,2.105263158,0.013764405,75000,121243.5565,5000,215000,0.035555301,0.045271318,0.025510826,0.015813953,0.06,1.263157895,0.455802844,1,1.789473684,1.04212472,0.049009875,1.013828856,1.098716449,82500,0.00528169,27500,47631.39721,0,82500,0.636363636,86.95652174,0.999810336,5272.488385,2962.548015,8.795754687,NA,ESM_bin,Abies_borisii-regis,85,-6.321612133,27.90240455,37.25501417,42.65743104,22.45413576,40.41611487,"c(12, 4)",ESM_bin,NA,NA,42,65,459,0.258406936,0.098523086,Abies borisii-regis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_borisii-regis,Abies_borisii-regis-ESM70_bin,1,7,115000,0.007362356,4.48e-7,3900,2.4968e-4,2.785714286,0.005121639,16428.57143,29006.36219,2500,80000,0.067823638,0.066884921,0.023181253,0.02375,0.08,1.178571429,0.305916093,1,1.666666667,1.027683965,0.047369342,1,1.101948275,7500,4.80154e-4,1071.428571,2834.733548,0,7500,0.404580153,67.94871795,0.999971566,35168.92252,444.1421255,7.994906561,NA,ESM70_bin,Abies_borisii-regis,44,13.50655261,33.94300995,37.2630658,44.47426767,21.57188317,40.41911886,"c(12, 4)",ESM70_bin,NA,NA,42,65,459,0.258406936,0.098523086,Abies borisii-regis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_borisii-regis,Abies_borisii-regis-occurrence,1,1,107500,1,9.3e-6,2800,0.026046512,2,1,107500,NA,107500,107500,0.052092921,0.026046512,NA,0.026046512,0.026046512,2,NA,2,2,1.13093503,NA,1.13093503,1.13093503,5000,0.046511628,5000,NA,5000,5000,0.50877193,80.55555556,0,1,107500,7.182586733,NA,occurrence,Abies_borisii-regis,43,19.53,25.51,37.71,42.21,22.44,40.42,"c(12, 4)",occurrence,"Mediterranean Forests, Woodlands and Scrub",51.11111111,42,65,459,0.258406936,0.098523086,Abies borisii-regis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_borisii-regis,Abies_borisii-regis-SDM_bin,1,3,127500,0.008162612,1.92e-7,3100,1.98464e-4,2.066666667,0.00784251,42500,69282.0323,2500,122500,0.048626906,0.060680272,0.03346275,0.022040816,0.08,1.30952381,0.536110964,1,1.928571429,1.037372655,0.064731336,1,1.112117964,17500,0.001120359,5833.333333,10103.62971,0,17500,0.533834586,81.6091954,0.999938444,16245.32002,961.5076825,8.462990272,NA,SDM_bin,Abies_borisii-regis,51,-3.281979581,33.94300995,36.82041542,44.47426767,22.42688237,40.42512779,"c(12, 4)",SDM_bin,NA,NA,42,65,459,0.258406936,0.098523086,Abies borisii-regis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abies_borisii-regis,Abies_borisii-regis-SDM70_bin,1,5,62500,0.00400128,3.2e-7,2900,1.85659e-4,2.9,0.001440461,12500,9185.586535,5000,22500,0.092796753,0.053333333,0.012862041,0.035555556,0.066666667,1.25,0.276385399,1,1.666666667,1.05385586,0.039801397,1.013828856,1.101948275,0,0,0,0,0,0,0.265822785,53.84615385,0.999995415,218086.6145,71.62291933,6.332819773,NA,SDM70_bin,Abies_borisii-regis,21,20.10993948,47.71995989,39.97466119,44.47426767,24.28003906,42.1936411,"c(12, 4, 8)",SDM70_bin,NA,NA,42,65,459,0.258406936,0.098523086,Abies borisii-regis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
